Tên phim,Link review,Thể loại,Ảnh
Nhà Gia Tiên,https://www.momo.vn/cinema/nha-gia-tien-24210/review,"Gia đình, Tâm Linh, Hài",https://cinema.momocdn.net/img/30910758424122498-672b4df6707cf_1.jpg?size=L
Nụ Hôn Bạc Tỷ,https://www.momo.vn/cinema/nu-hon-bac-ty-24185/review,"Hài, Lãng mạn",https://cinema.momocdn.net/img/20805460312366259-dsc07289-5246.jpg?size=L
Quỷ Nhập Tràng,https://www.momo.vn/cinema/quy-nhap-trang-24232/review,Kinh dị,https://cinema.momocdn.net/img/129193450011335785-67b46f28f1610_1.jpg?size=L
Attack On Titan: Lần Tấn Công Cuối Cùng,https://www.momo.vn/cinema/attack-on-titan-the-last-attack-24215/review,"Chính kịch, Hành động, Hoạt hình",https://image.tmdb.org/t/p/w780/sl5rXSyMTzK5WkpRO9oVIkqr6DE.jpg
"Anh Trai ""Say Hi"": Kẻ Phản Diện Tạo Nên Người Hùng",https://www.momo.vn/cinema/anh-trai-say-hi-ke-phan-dien-tao-nen-nguoi-hung-24223/review,"Âm Nhạc, Tài liệu",https://cinema.momocdn.net/img/86663091801703204-athsad.jpg?size=L
Interstellar (Chiếu lại),https://www.momo.vn/cinema/interstellar-24234/review,"Chính kịch, Phiêu lưu, Khoa học - Viễn tưởng",https://image.tmdb.org/t/p/w780/vjVkdKOsCuQvpAVW83EHf9M3Z3h.jpg
Sát Thủ Vô Cùng Cực Hài,https://www.momo.vn/cinema/hitman-2-24236/review,"Hài, Hành động",https://image.tmdb.org/t/p/w780/w121PdRrpzxhKZuBIvTpvq5WDq4.jpg
Cưới Ma: Hiến Mẹ Cho Quỷ,https://www.momo.vn/cinema/the-devils-bridge-24230/review,"Gay cấn, Kinh dị",https://image.tmdb.org/t/p/w780/a76Q2dl3O0QbZKd7c2WGs3teaxn.jpg
Lạc Trôi,https://www.momo.vn/cinema/flow-24237/review,"Phiêu lưu, Giả tưởng, Hoạt hình",https://image.tmdb.org/t/p/w780/jfKMI32Xc2HfB0hRlmPVlAaeb7r.jpg
Mickey 17,https://www.momo.vn/cinema/mickey-17-890/review,"Chính kịch, Phiêu lưu, Khoa học - Viễn tưởng",https://image.tmdb.org/t/p/w780/xrhuca78v1RElxEG3kW1KpR4ayG.jpg
Gundam GQuuuuuuX -Kỷ Nguyên Mới-,https://www.momo.vn/cinema/gundam-gquuuuuux-beginning-24246/review,"Chính kịch, Khoa học - Viễn tưởng, Hành động, Hoạt hình",https://image.tmdb.org/t/p/w780/uSQ5H2JeQpH4IpR01CwoObocZed.jpg
Tiếng Vọng Kinh Hoàng,https://www.momo.vn/cinema/the-monkey-24251/review,"Kinh dị, Hài",https://image.tmdb.org/t/p/w780/xIp9gYZKWKpby5Q0687r7WZ5YwL.jpg
Emma Và Vương Quốc Tí Hon,https://www.momo.vn/cinema/little-emma-24241/review,"Gia đình, Phiêu lưu, Hoạt hình",https://image.tmdb.org/t/p/w780/4gd1HMGL7r2h2hLow1UIjvYMxox.jpg
Anh Không Đau,https://www.momo.vn/cinema/novocaine-24239/review,"Gay cấn, Hài, Hành động",https://image.tmdb.org/t/p/w780/8eBj4WgFTsQOb8Moicf0I9sBgDE.jpg
Vietnamese Concert Film: Chúng Ta Là Người Việt Nam,https://www.momo.vn/cinema/vietnamese-concert-film-chung-ta-la-nguoi-viet-nam-24250/review,"Âm Nhạc, Tài liệu",https://cinema.momocdn.net/img/130400336309767140-maxresdefault.jpg?size=L
(G)I-DLE: Những Nữ Thần Tượng,https://www.momo.vn/cinema/g-idle-world-tour-idol-24245/review,"Âm Nhạc, Tài liệu",https://image.tmdb.org/t/p/w780/ydbWUY2vP3Ykq7KrzAlxhEfs1HQ.jpg
MAI,https://www.momo.vn/cinema/mai-23711/review,Lãng mạn,https://cinema.momocdn.net/img/32033864513020595-first-look-mai-1701162316.jpg
Lật Mặt 7: Một Điều Ước,https://www.momo.vn/cinema/face-off-7-one-wish-23775/review,"Gia đình, Tình cảm, Hài",https://cinema.momocdn.net/img/58187000777018731-Ly-Hai-7-Large.jpg
Bộ Tứ Báo Thủ,https://www.momo.vn/cinema/bo-tu-bao-thu-24186/review,"Hài, Lãng mạn",https://cinema.momocdn.net/img/20806799746765424-1-2-1-17319977764621795015696-126-0-1098-1856-crop-17319978254341652940828.jpg?size=L
Quật Mộ Trùng Ma,https://www.momo.vn/cinema/exhuma-23755/review,"Gay cấn, Bí ẩn, Kinh dị",https://cinema.momocdn.net/img/33662675193695067-aINel9503ompOlGKn4sIVMg09Un.jpg
Thám Tử Lừng Danh Conan: Ngôi Sao 5 Cánh 1 Triệu Đô,https://www.momo.vn/cinema/conan-movie-27-the-milliondollar-pentagram-23844/review,"Bí ẩn, Hình sự, Hành động, Hoạt hình",https://cinema.momocdn.net/img/9633644791641463-bPbPrWWJGaLXQ5ESjcaIbMzVDg8.jpg
Đất Rừng Phương Nam,https://www.momo.vn/cinema/song-of-the-south-993/review,"Chính kịch, Gia đình, Chiến tranh",https://cinema.momocdn.net/img/9026105849476126-7TW7TR9lYLpPDqdABBfEmxBYUiE.jpg
CÁM,https://www.momo.vn/cinema/the-sisters-23868/review,Kinh dị,https://cinema.momocdn.net/img/13385037892429967-4Rn5JBul7GkvwdnVysEPwdJFZzl.jpg
Tee Yod: Quỷ Ăn Tạng Phần 2,https://www.momo.vn/cinema/tee-yod-2-24044/review,"Gay cấn, Kinh dị",https://cinema.momocdn.net/img/76912236330285912-Screen%20Shot%202024-09-13%20at%2015.21.27.png
Yêu Nhầm Bạn Thân,https://www.momo.vn/cinema/yeu-nham-ban-than-24133/review,"Hài, Lãng mạn",https://cinema.momocdn.net/img/26842957116188811-gfEnkleo6elBpEceKDDRwdaO2rZ.jpg
MA DA,https://www.momo.vn/cinema/ma-da-23865/review,Kinh dị,https://cinema.momocdn.net/img/14391164406189585-Thumb%20Teaser.jpg
Cửu Long Thành Trại: Vây Thành,https://www.momo.vn/cinema/twilight-of-the-warriors-walled-in-23846/review,"Gay cấn, Hành động",https://cinema.momocdn.net/img/96788620132953244-x9vF7htgRDYvohxpScKlRE5ZOqv.jpg
Godzilla x Kong: Đế Chế Mới,https://www.momo.vn/cinema/godzilla-x-kong-the-new-empire-23713/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/36279307436604273-nDCN5WubZtnrUy5B1q67xde4wQI.jpg
Chị Dâu,https://www.momo.vn/cinema/chi-dau-24144/review,"Chính kịch, Hài",https://cinema.momocdn.net/img/19607381824352175-CDTHUMB.jpg?size=L
Người Vợ Cuối Cùng (Chiếu lại),https://www.momo.vn/cinema/nguoi-vo-cuoi-cung-23587/review,"Chính kịch, Lãng mạn",https://cinema.momocdn.net/img/15087893694815253-55jXWq2Z3g1L0fTRHLJ36UPspmm.jpg
Làm Giàu Với Ma,https://www.momo.vn/cinema/lam-giau-voi-ma-23985/review,"Gia đình, Hài",https://cinema.momocdn.net/img/52615211680343816-lam-giau-voi-ma-750_1723108879820.jpg
Đèn Âm Hồn,https://www.momo.vn/cinema/the-soul-lantern-24214/review,Kinh dị,https://cinema.momocdn.net/img/31430731804853690-denamhonnnn.jpg?size=L
Quỷ Cẩu,https://www.momo.vn/cinema/quy-cau-23693/review,Kinh dị,https://cinema.momocdn.net/img/25291146077975868-qu-cau-750_1698228057531.jpg
Gặp Lại Chị Bầu,https://www.momo.vn/cinema/gap-lai-chi-bau-23735/review,"Gia đình, Hài, Lãng mạn",https://cinema.momocdn.net/img/29781413380088908-9r7YEw1ZW7Kq2iwoTNx643G53JC.jpg
Lật Mặt 6: Tấm Vé Định Mệnh,https://www.momo.vn/cinema/lat-mat-6-tam-ve-dinh-menh-961/review,"Chính kịch, Bí ẩn, Hài, Hành động",https://cinema.momocdn.net/img/60738efc-4247-4b0f-8f93-230f1048463c-67607266484586062.jpg
Gia Tài Của Ngoại,https://www.momo.vn/cinema/how-to-make-millions-before-grandma-dies-23807/review,Chính kịch,https://cinema.momocdn.net/img/51868011241813084-3Xk8Agkn05SIjX1dnj2l2Mohytd.jpg
404 Chạy Ngay Đi,https://www.momo.vn/cinema/404-run-run-24182/review,"Kinh dị, Hài",https://image.tmdb.org/t/p/w780/2Y2YHRLLkF3WdbLEGHpG5hKTyyG.jpg
Kung Fu Panda 4,https://www.momo.vn/cinema/kung-fu-panda-4-23758/review,"Gia đình, Phiêu lưu, Hài, Hành động, Hoạt hình",https://cinema.momocdn.net/img/33921126840894596-pJXT7j12gQmR5TbPoSEFyEFH6bd.jpg
Doraemon: Nobita và bản giao hưởng Địa Cầu,https://www.momo.vn/cinema/doraemon-nobita-va-ban-giao-huong-dia-cau-23815/review,"Âm Nhạc, Phiêu lưu, Khoa học - Viễn tưởng, Giả tưởng, Hoạt hình",https://cinema.momocdn.net/img/57932775851362297-Z3mSxuPRNiFYxf1LBoGz3YrJzC.jpg
Kẻ Ăn Hồn,https://www.momo.vn/cinema/ke-an-hon-23688/review,"Gay cấn, Ma, Kinh dị",https://cinema.momocdn.net/img/24924281642101214-Untitled-1.jpg
Cô Dâu Hào Môn,https://www.momo.vn/cinema/co-dau-hao-mon-24038/review,"Gia đình, Hài",https://cinema.momocdn.net/img/76746974584401484-Capture-2024-09-11-172615.png
Đẹp Trai Thấy Sai Sai,https://www.momo.vn/cinema/handsome-guys-23950/review,"Kinh dị, Hài",https://cinema.momocdn.net/img/52004287847780992-7qMw4BkgvCLBev11Db5ygXNisaF.jpg
Nhà Bà Nữ,https://www.momo.vn/cinema/the-house-of-no-man-879/review,Chính kịch,https://cinema.momocdn.net/img/93840286572513356-tBLRdEQCth9gj5VHZbx2sO4coCY.jpg
Linh Miêu: Quỷ Nhập Tràng,https://www.momo.vn/cinema/linh-mieu-quy-nhap-trang-24045/review,Kinh dị,https://cinema.momocdn.net/img/104090625710626008-bakdrop.jpg
Vây Hãm: Kẻ Trừng Phạt,https://www.momo.vn/cinema/the-roundup-punishment-23798/review,"Chính kịch, Hình sự, Hành động",https://cinema.momocdn.net/img/50978401525223863-7w6pbVSV0uwTQOTPW5Pb8e7rdPc.jpg
Deadpool và Wolverine,https://www.momo.vn/cinema/deadpool-wolverine-23808/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hài",https://cinema.momocdn.net/img/57931530102309644-nbq3LfgLXnL5ixZ1Q74jTJmhmTS.jpg
Aquaman: Vương Quốc Thất Lạc,https://www.momo.vn/cinema/aquaman-and-the-lost-kingdom-23640/review,"Siêu anh hùng, Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/19910902269128065-3zP1aFWym9sfEDAiiGvpCXI3vcH.jpg
Venom: Kèo Cuối,https://www.momo.vn/cinema/venom-the-last-dance-24041/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/76908753486687232-3V4kLQg0kSqPLctI5ziYWabAZYF.jpg
Kẻ Trộm Mặt Trăng 4,https://www.momo.vn/cinema/despicable-me-4-23843/review,"Gia đình, Phiêu lưu, Hài, Hoạt hình",https://cinema.momocdn.net/img/9563101505271413-lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg
Tee Yod: Quỷ Ăn Tạng,https://www.momo.vn/cinema/death-whisperer-23714/review,"Gay cấn, Giật gân, Kinh dị",https://cinema.momocdn.net/img/27172453956115921-55hRgXkbvHoc9dL58S9HAGyxmZt.jpg
Yêu Lại Vợ Ngầu,https://www.momo.vn/cinema/love-reset-23682/review,"Hài, Lãng mạn",https://cinema.momocdn.net/img/24065430366242193-tiKNQUipxfKQQXuUFnBprXtL7kM.jpg
Dune: Hành Tinh Cát - Phần Hai,https://www.momo.vn/cinema/dune-part-two-23563/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/12744539830352274-4G3DsvGEACnuIKlmaEtbx9nv7oD.jpg
Ngày Xưa Có Một Chuyện Tình,https://www.momo.vn/cinema/once-upon-a-love-story-23817/review,Lãng mạn,https://cinema.momocdn.net/img/58015197218761955-ngay-xua-chuyen-tinh-1-7185-1702790011.jpg
Thanh Xuân 18×2: Lữ Trình Hướng Về Em,https://www.momo.vn/cinema/seishun-18-2-kimi-e-to-tsuzuku-michi-23791/review,Lãng mạn,https://cinema.momocdn.net/img/36869801389273378-yPGRx9VrA98UlS5QfXrNws34D82.jpg
Những Mảnh Ghép Cảm Xúc 2,https://www.momo.vn/cinema/inside-out-2-23689/review,"Chính kịch, Gia đình, Hài, Hoạt hình",https://cinema.momocdn.net/img/24935517474601818-5PDY5km05Q3g1lcUaCxeA6BDyp5.jpg
GIA ĐÌNH x ĐIỆP VIÊN MÃ: TRẮNG,https://www.momo.vn/cinema/spy-family-code-white-23736/review,"Phiêu lưu, Hài, Hành động, Hoạt hình",https://cinema.momocdn.net/img/30817239567297364-c2bUvZG7uwdM4AmH0wT8HXXKeBg.jpg
Rider: Giao Hàng Cho Ma,https://www.momo.vn/cinema/rider-ghost-delivery-24222/review,"Kinh dị, Hài",https://image.tmdb.org/t/p/w780/gOpFniz5Wn7AxWSmV8nH5AQnGmz.jpg
Cười Xuyên Biên Giới,https://www.momo.vn/cinema/amazon-bullseye-24091/review,Hài,https://cinema.momocdn.net/img/50881848963397772-gD8hr973ZaNNMNfrZ0zE4SBSOgb.jpg
Ngôi Đền Kỳ Quái 4,https://www.momo.vn/cinema/peenak-4-23797/review,"Kinh dị, Hài",https://cinema.momocdn.net/img/50978028151516921-i9gC7lfWa56pQ5AmfGsOhHlmg6o.jpg
Ác Quỷ Ma Sơ 2,https://www.momo.vn/cinema/the-nun-ii-23581/review,"Bí ẩn, Ma, Kinh dị",https://cinema.momocdn.net/img/13949287040968844-nun2.jpg
Avatar: Dòng Chảy Của Nước (Chiếu lại),https://www.momo.vn/cinema/avatar-the-way-of-water-682/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615143112-637909002726073251.jpg
Công Tử Bạc Liêu,https://www.momo.vn/cinema/once-upon-a-time-in-indochine-24035/review,"Gia đình, Hài",https://cinema.momocdn.net/img/49489667634662374-song-luan-dong-vai-chinh-phim-_281725343702.png
Bỗng Dưng Trúng Số,https://www.momo.vn/cinema/6-45-827/review,Hài,https://cinema.momocdn.net/img/83488625990570463-eHK0Tagwl5kPhpIKstBeG045aLt.jpg
Dự Án Mật: Thảm Họa Trên Cầu,https://www.momo.vn/cinema/project-silence-23866/review,"Gay cấn, Hành động",https://cinema.momocdn.net/img/96400919057923434-hPIWQT70wQK6akqfLXByEvr62u0.jpg
Nhà Vịt Di Cư,https://www.momo.vn/cinema/migration-23638/review,"Gia đình, Phiêu lưu, Hài, Hoạt hình",https://cinema.momocdn.net/img/19839095016256844-9b9GCFpdttINBHfr0TgeXmxiqwf.jpg
Cái Giá Của Hạnh Phúc,https://www.momo.vn/cinema/the-price-of-happiness-23795/review,Chính kịch,https://cinema.momocdn.net/img/36871890828709900-maxresdefault%20(3
Đố Anh Còng Được Tôi,https://www.momo.vn/cinema/i-the-executioner-24036/review,"Hình sự, Hài, Hành động",https://cinema.momocdn.net/img/76740839010983820-Thumb-Main.jpg
Những Kỷ Nguyên của Taylor Swift,https://www.momo.vn/cinema/taylor-swift-the-eras-tour-chieu-lai-23664/review,Âm Nhạc,https://cinema.momocdn.net/img/22245082037397180-ts8PUgEjtWee0e0lKVQ8NOQTPrM.jpg
Siêu Lừa Gặp Siêu Lầy,https://www.momo.vn/cinema/sieu-lua-gap-sieu-lay-891/review,Hài,https://cinema.momocdn.net/img/90579154296984976-yDtpu2KVZL3GO2mhx7hIxgHZxUB.jpg
Chiếm Đoạt,https://www.momo.vn/cinema/chiem-doat-23647/review,"Gay cấn, Tâm lý",https://cinema.momocdn.net/img/20434065089851409-u7vBLDg1OErWVEE4ij4EhqdYzvE.jpg
Haikyu!!: Trận Chiến Bãi Phế Liệu,https://www.momo.vn/cinema/haikyuu-the-movie-decisive-battle-at-the-garbage-dump-23822/review,"Chính kịch, Hoạt hình",https://cinema.momocdn.net/img/59072402354007678-cZmOrIOkJ2SNfVdiO85dUbOAYnL.jpg
Minh Hôn,https://www.momo.vn/cinema/baridegi-the-abandonned-girl-24046/review,"Bí ẩn, Kinh dị",https://cinema.momocdn.net/img/56251423831839649-fQdNEZcqYpp7RZQts47LQdqJgvc.jpg
Hai Muối,https://www.momo.vn/cinema/hai-muoi-24020/review,"Chính kịch, Gia đình",https://cinema.momocdn.net/img/53203009429240994-Untitled-3.jpg
Captain America: Thế Giới Mới,https://www.momo.vn/cinema/captain-america-brave-new-world-24076/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/57817703136038574-3nPDlMUEOLsJcdzSKsR6sKYBDEI.jpg
Nữ Tu Bóng Tối,https://www.momo.vn/cinema/dark-nuns-24213/review,"Gay cấn, Bí ẩn, Kinh dị",https://image.tmdb.org/t/p/w780/9NkELPD2VS8RzZP9ASbW5rTklQ1.jpg
Mật Vụ Ong,https://www.momo.vn/cinema/the-beekeeper-23731/review,"Gay cấn, Giật gân, Hành động",https://cinema.momocdn.net/img/29774942585394620-tL8fzn7JaBzRJKsE1W6GrVxmMQj.jpg
Robot Hoang Dã,https://www.momo.vn/cinema/the-wild-robot-23841/review,"Gia đình, Khoa học - Viễn tưởng, Hoạt hình",https://cinema.momocdn.net/img/108617207755215561-nExTIbyC3WrIn2lXEe2cjYy8KHF.jpg
Thám Tử Lừng Danh Conan: Tàu Ngầm Sắt Màu Đen,https://www.momo.vn/cinema/conan-black-iron-submarine-969/review,"Trinh thám, Hình sự, Hành động, Hoạt hình",https://cinema.momocdn.net/img/14294563339724767-zZnsfR6BRqtxyLyAhsi2TMukEBx.jpg
Chiến Địa Tử Thi,https://www.momo.vn/cinema/operation-undead-24037/review,"Chính kịch, Kinh dị, Hành động",https://cinema.momocdn.net/img/107586772104235300-elxYvqymNurnpUJmlEgoDGogXwq.jpg
"THANH GƯƠM DIỆT QUỶ: Phép Màu Tình Thân, Cho Đến Chuyến Đặc Huấn Của Đại Trụ",https://www.momo.vn/cinema/demon-slayer-kimetsu-no-yaiba-to-the-hashira-training-23749/review,"Giả tưởng, Hành động, Hoạt hình",https://cinema.momocdn.net/img/32118695502052424-pNtQZbopfVKwmUufecogOs6a5Sc.jpg
Lâu Đài Bay Của Pháp Sư Howl,https://www.momo.vn/cinema/howls-moving-castle-24188/review,"Phiêu lưu, Giả tưởng, Hoạt hình",https://image.tmdb.org/t/p/w780/xqaN2WYQclQlqvKvsOcNgOx2vRn.jpg
Trên Bàn Nhậu Dưới Bàn Mưu,https://www.momo.vn/cinema/tren-ban-nhau-duoi-ban-muu-23723/review,"Tâm lý, Hài",https://cinema.momocdn.net/img/28907693194394812-HI_03945_edit.jpg
Biệt Đội Đánh Thuê 4,https://www.momo.vn/cinema/expend4bles-23643/review,"Gay cấn, Phiêu lưu, Hành động",https://cinema.momocdn.net/img/19912659252706522-rMvPXy8PUjj1o8o1pzgQbdNCsvj.jpg
Biệt Đội Marvel,https://www.momo.vn/cinema/the-marvels-23588/review,"Siêu anh hùng, Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/15522895466740341-u2C8hDXDc6wmgSKIT5sxarNKulY.jpg
Cô Giáo Em Là Số 1 (Chiếu lại),https://www.momo.vn/cinema/brave-citizen-23695/review,"Chính kịch, Hài, Hành động",https://cinema.momocdn.net/img/25292879747269816-5d1sQtAKsbVjdUuzXWoh2vKtyy7.jpg
Chị Chị Em Em 2,https://www.momo.vn/cinema/chi-chi-em-em-2-892/review,"Chính kịch, Gay cấn",https://cinema.momocdn.net/img/90570419600058857-kDlnZC4bGXqxlT6HtnnexbbX1Ne.jpg
Xứ Sở Các Nguyên Tố,https://www.momo.vn/cinema/elemental-971/review,"Gia đình, Khoa học - Viễn tưởng, Lãng mạn, Hoạt hình",https://cinema.momocdn.net/img/11877438101025506-7fcbf26f-d0c6-4c31-ac29-c07c4a00119d-67606526460995465.jpg
